Map,Random,MaxImmediateDistance,MCTS,QLearning,DQN
2024-12-06 10:31:09,-801,78.0,-760.0,-760.0,4.0
2024-12-06 10:29:02,-1063,48.0,48.0,48.0,-659.0
2024-12-06 10:35:39,-1164,-1164.0,6.0,-962.0,-1154.0
2024-12-06 10:36:21,48,48.0,48.0,48.0,48.0
2024-12-06 10:31:36,-356,48.0,-457.0,-457.0,-962.0
2024-12-06 10:35:06,48,48.0,48.0,48.0,48.0
2024-12-06 10:32:11,-861,-53.0,-53.0,-53.0,48.0
2024-12-06 10:32:29,48,48.0,48.0,48.0,48.0
2024-12-06 10:29:05,48,48.0,48.0,48.0,48.0
2024-12-06 10:36:19,-659,48.0,48.0,-255.0,-457.0
2024-12-06 10:32:16,-1144,-760.0,448.0,-659.0,185.0
2024-12-06 10:35:01,-457,48.0,48.0,-457.0,-962.0
2024-12-06 10:31:31,48,48.0,48.0,-255.0,-255.0
2024-12-06 10:36:26,48,48.0,48.0,-255.0,48.0
2024-12-06 10:29:33,-468,48.0,276.0,-196.0,407.0
2024-12-06 10:35:08,-558,48.0,48.0,-558.0,48.0
2024-12-06 10:31:38,-1164,-659.0,218.0,-861.0,-356.0
2024-12-06 10:32:20,-457,-962.0,-962.0,-1063.0,-53.0
2024-12-06 10:35:37,-1366,48.0,-1164.0,-1366.0,-659.0
2024-12-06 10:31:07,48,48.0,48.0,48.0,48.0
2024-12-06 10:36:10,48,48.0,48.0,48.0,48.0
2024-12-06 10:36:28,-700,-932.0,216.0,-1164.0,348.0
2024-12-06 10:32:18,-1265,-558.0,-659.0,-1063.0,-457.0
2024-12-06 10:29:34,-962,-255.0,-962.0,-861.0,-457.0
2024-12-06 10:36:17,48,48.0,48.0,-53.0,-356.0
2024-12-06 10:31:00,-861,78.0,145.0,-659.0,108.0
2024-12-06 10:35:30,-962,-53.0,-457.0,-962.0,4.0
2024-12-06 10:32:27,48,48.0,48.0,-53.0,48.0
2024-12-06 10:31:54,48,48.0,48.0,48.0,48.0
2024-12-06 10:36:43,48,48.0,48.0,48.0,48.0
2024-12-06 10:29:58,-659,48.0,48.0,-255.0,-962.0
2024-12-06 10:36:44,48,48.0,48.0,48.0,48.0
2024-12-06 10:31:53,-255,-730.0,165.0,-861.0,94.0
2024-12-06 10:35:55,-207,48.0,148.0,-558.0,127.0
2024-12-06 10:32:42,-962,-760.0,-47.0,-1063.0,-217.0
2024-12-06 10:29:51,-457,218.0,-356.0,-558.0,48.0
2024-12-06 10:32:45,-760,-558.0,-760.0,-1063.0,-558.0
2024-12-06 10:35:52,-457,48.0,-861.0,-760.0,-659.0
2024-12-06 10:29:56,-154,277.0,478.0,-962.0,-558.0
2024-12-06 10:32:19,-659,-558.0,48.0,-861.0,-457.0
2024-12-06 10:29:35,-558,-356.0,-760.0,48.0,-861.0
2024-12-06 10:36:29,-55,-427.0,256.0,-659.0,215.0
2024-12-06 10:32:26,-760,-861.0,-457.0,-861.0,-457.0
2024-12-06 10:35:31,-760,48.0,-154.0,-962.0,-861.0
2024-12-06 10:31:01,48,48.0,48.0,48.0,48.0
2024-12-06 10:36:16,-861,-760.0,-659.0,-861.0,-558.0
2024-12-06 10:29:32,48,48.0,428.0,48.0,48.0
2024-12-06 10:35:09,48,48.0,48.0,48.0,48.0
2024-12-06 10:36:11,-861,48.0,138.0,-154.0,-760.0
2024-12-06 10:31:06,48,48.0,48.0,-356.0,48.0
2024-12-06 10:35:36,286,-154.0,326.0,-457.0,528.0
2024-12-06 10:32:21,56,-356.0,115.0,225.0,124.0
2024-12-06 10:36:18,-861,-962.0,-356.0,-356.0,-962.0
2024-12-06 10:32:28,-861,48.0,67.0,-962.0,-255.0
2024-12-06 10:29:04,-659,-760.0,-356.0,-659.0,48.0
2024-12-06 10:36:27,-55,-356.0,-558.0,48.0,-558.0
