Map,Random,MaxImmediateDistance,MCTS,QLearning,DQN
2024-12-05 21:51:12,-76,-65.0,136.0,46.0,-489.0
2024-12-05 21:56:05,16,-590.0,-55.0,-287.0,-590.0
2024-12-05 22:02:26,16,16.0,16.0,16.0,16.0
2024-12-05 21:52:35,56,16.0,65.0,-26.0,16.0
2024-12-05 21:55:22,96,46.0,136.0,26.0,166.0
2024-12-05 21:46:51,-85,16.0,116.0,-186.0,16.0
2024-12-05 21:49:19,86,46.0,56.0,-287.0,16.0
2024-12-05 22:01:01,-590,16.0,-489.0,16.0,16.0
2024-12-05 22:02:19,16,16.0,156.0,-287.0,16.0
2024-12-05 21:49:26,-85,-590.0,-489.0,-792.0,-792.0
2024-12-05 21:46:56,16,-287.0,16.0,16.0,16.0
2024-12-05 22:01:06,16,16.0,116.0,16.0,16.0
2024-12-05 21:55:25,16,16.0,146.0,16.0,156.0
2024-12-05 21:52:32,-388,16.0,16.0,16.0,16.0
2024-12-05 22:02:21,126,16.0,156.0,16.0,146.0
2024-12-05 21:56:02,16,16.0,86.0,16.0,16.0
2024-12-05 21:51:15,-287,46.0,166.0,16.0,16.0
2024-12-05 22:01:39,16,16.0,166.0,16.0,16.0
2024-12-05 21:49:21,46,36.0,176.0,16.0,16.0
2024-12-05 21:55:13,-388,16.0,16.0,-691.0,-489.0
2024-12-05 21:52:04,16,16.0,16.0,-85.0,16.0
2024-12-05 22:01:30,76,46.0,176.0,16.0,176.0
2024-12-05 21:49:28,-85,16.0,66.0,-85.0,-65.0
2024-12-05 21:56:34,16,16.0,16.0,16.0,16.0
2024-12-05 21:51:23,-994,16.0,16.0,-590.0,-388.0
2024-12-05 22:02:17,16,16.0,16.0,16.0,16.0
2024-12-05 21:49:17,16,16.0,16.0,16.0,16.0
2024-12-05 22:02:28,16,16.0,16.0,16.0,16.0
2024-12-05 21:59:43,16,16.0,106.0,16.0,16.0
2024-12-05 22:02:10,-85,46.0,176.0,16.0,176.0
2024-12-05 21:51:24,-186,65.0,-137.0,-691.0,166.0
2024-12-05 21:56:33,-489,16.0,-5.0,-287.0,156.0
2024-12-05 22:01:37,66,16.0,176.0,16.0,176.0
2024-12-05 21:52:03,16,16.0,166.0,16.0,16.0
2024-12-05 21:55:14,-388,36.0,36.0,-459.0,56.0
2024-12-05 21:59:44,16,16.0,156.0,16.0,166.0
2024-12-05 21:46:58,16,-85.0,86.0,-792.0,176.0
2024-12-05 21:49:10,-86,46.0,65.0,-287.0,146.0
2024-12-05 22:01:08,126,26.0,176.0,-358.0,176.0
2024-12-05 21:59:10,-792,-85.0,-66.0,-85.0,-66.0
2024-12-05 21:56:58,-489,-489.0,-287.0,-489.0,-590.0
2024-12-05 21:49:44,16,16.0,16.0,16.0,16.0
2024-12-05 22:02:44,-893,-85.0,16.0,16.0,16.0
2024-12-05 21:46:33,16,16.0,16.0,16.0,16.0
2024-12-05 21:55:40,16,16.0,16.0,16.0,16.0
2024-12-05 21:52:57,-388,46.0,16.0,-994.0,-348.0
2024-12-05 21:49:43,156,16.0,176.0,16.0,176.0
2024-12-05 21:59:17,-277,-186.0,35.0,-36.0,-46.0
2024-12-05 21:51:48,16,-388.0,-85.0,16.0,16.0
2024-12-05 21:52:50,86,16.0,176.0,16.0,176.0
2024-12-05 21:55:47,106,16.0,176.0,16.0,176.0
2024-12-05 21:46:34,26,16.0,176.0,176.0,176.0
2024-12-05 21:59:28,-146,-85.0,-25.0,-287.0,146.0
2024-12-05 22:02:43,15,36.0,75.0,-156.0,176.0
2024-12-05 21:52:59,-287,16.0,-136.0,16.0,96.0
2024-12-05 21:59:21,-590,16.0,-186.0,-1095.0,16.0
2024-12-05 22:01:52,16,-590.0,126.0,-85.0,-388.0
2024-12-05 21:51:41,16,-85.0,-186.0,16.0,16.0
2024-12-05 21:56:56,16,16.0,166.0,16.0,16.0
2024-12-05 21:59:26,16,16.0,76.0,16.0,16.0
2024-12-05 21:55:49,126,46.0,176.0,176.0,176.0
2024-12-05 21:59:19,16,16.0,146.0,16.0,16.0
2024-12-05 21:56:51,86,86.0,-76.0,-691.0,-45.0
2024-12-05 21:51:46,16,-186.0,-287.0,-792.0,-287.0
2024-12-05 22:01:55,-287,46.0,16.0,-287.0,96.0
2024-12-05 22:01:36,16,16.0,96.0,16.0,16.0
2024-12-05 21:55:15,-25,16.0,-792.0,-55.0,-15.0
2024-12-05 21:52:02,16,16.0,136.0,16.0,16.0
2024-12-05 22:02:11,56,16.0,126.0,16.0,16.0
2024-12-05 21:56:32,16,136.0,16.0,16.0,16.0
2024-12-05 21:51:25,16,16.0,16.0,16.0,16.0
2024-12-05 21:49:11,-893,-489.0,-85.0,-388.0,-893.0
2024-12-05 21:46:59,116,16.0,96.0,16.0,16.0
2024-12-05 22:01:09,16,16.0,-86.0,-994.0,156.0
2024-12-05 21:59:45,16,16.0,16.0,16.0,16.0
2024-12-05 21:51:22,-1398,-691.0,-691.0,-792.0,-1095.0
2024-12-05 21:56:35,36,46.0,176.0,16.0,176.0
2024-12-05 22:02:16,16,16.0,166.0,16.0,16.0
2024-12-05 21:52:05,16,16.0,16.0,16.0,-85.0
2024-12-05 21:55:12,16,16.0,16.0,16.0,-388.0
2024-12-05 22:01:31,46,16.0,146.0,16.0,16.0
2024-12-05 21:49:29,-994,56.0,146.0,-691.0,116.0
2024-12-05 22:02:29,-85,56.0,86.0,-85.0,16.0
2024-12-05 21:59:42,146,16.0,136.0,-287.0,16.0
2024-12-05 21:49:16,136,56.0,166.0,16.0,-287.0
2024-12-05 22:02:20,16,166.0,35.0,-85.0,16.0
2024-12-05 21:51:14,16,16.0,106.0,16.0,16.0
2024-12-05 21:56:03,66,16.0,136.0,16.0,65.0
2024-12-05 21:46:57,-388,166.0,55.0,-1196.0,16.0
2024-12-05 22:01:07,146,16.0,166.0,16.0,16.0
2024-12-05 21:52:33,-85,46.0,156.0,-691.0,65.0
2024-12-05 21:55:24,-691,-489.0,16.0,-388.0,16.0
2024-12-05 22:01:38,16,16.0,86.0,16.0,16.0
2024-12-05 21:49:20,66,16.0,116.0,16.0,16.0
2024-12-05 21:55:23,26,46.0,116.0,16.0,16.0
2024-12-05 21:52:34,-75,-792.0,16.0,-590.0,76.0
2024-12-05 21:49:18,16,16.0,16.0,16.0,16.0
2024-12-05 21:46:50,26,46.0,176.0,-85.0,36.0
2024-12-05 22:01:00,136,26.0,176.0,176.0,136.0
2024-12-05 21:56:04,-550,56.0,5.0,-792.0,-85.0
2024-12-05 21:51:13,-186,-287.0,-590.0,-792.0,16.0
2024-12-05 22:02:27,16,16.0,16.0,16.0,16.0
2024-12-05 21:49:27,16,36.0,116.0,16.0,16.0
2024-12-05 22:02:18,26,16.0,136.0,-186.0,16.0
2024-12-05 21:55:48,16,16.0,-85.0,16.0,16.0
2024-12-05 21:59:27,16,16.0,136.0,16.0,166.0
2024-12-05 22:01:54,-85,-186.0,126.0,-85.0,-66.0
2024-12-05 21:51:47,16,16.0,16.0,16.0,16.0
2024-12-05 21:56:50,96,16.0,176.0,16.0,16.0
2024-12-05 21:59:18,26,46.0,106.0,16.0,156.0
2024-12-05 21:59:20,-388,136.0,116.0,-792.0,16.0
2024-12-05 21:52:58,16,16.0,106.0,16.0,-5.0
2024-12-05 21:56:57,16,16.0,66.0,16.0,166.0
2024-12-05 21:51:40,16,16.0,16.0,16.0,16.0
2024-12-05 22:01:53,-287,-489.0,-186.0,-85.0,-893.0
2024-12-05 21:51:49,16,-287.0,-85.0,-691.0,-590.0
2024-12-05 21:59:16,-85,-388.0,126.0,-590.0,166.0
2024-12-05 21:49:42,-449,16.0,-85.0,-489.0,-36.0
2024-12-05 21:59:29,-85,16.0,-45.0,16.0,16.0
2024-12-05 22:02:42,16,16.0,106.0,16.0,16.0
2024-12-05 21:55:46,16,36.0,16.0,16.0,16.0
2024-12-05 21:52:51,116,16.0,156.0,16.0,16.0
2024-12-05 21:46:35,16,16.0,16.0,16.0,16.0
2024-12-05 21:49:45,16,16.0,66.0,16.0,16.0
2024-12-05 21:56:59,56,16.0,16.0,16.0,-85.0
2024-12-05 21:59:11,16,16.0,16.0,16.0,116.0
2024-12-05 21:46:32,-55,36.0,75.0,16.0,176.0
2024-12-05 21:52:56,16,16.0,16.0,-85.0,16.0
2024-12-05 21:55:41,16,16.0,86.0,16.0,146.0
2024-12-05 22:02:45,-691,-85.0,76.0,-792.0,166.0
2024-12-05 22:00:36,-489,-85.0,-590.0,-792.0,-691.0
2024-12-05 21:53:02,76,16.0,76.0,16.0,16.0
2024-12-05 21:54:15,16,16.0,166.0,16.0,16.0
